# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
raspberrypi3-64;1;2018-03-09 20:01:53;818088;844924;41192;4.42;8384;35172;98508;6.22;23640;31120;0;11208;29412;2856;872;10152
raspberrypi3-64;10;2018-03-09 20:02:03;818648;845604;40472;4.34;8392;35268;98508;6.22;23784;30988;0;11312;29468;2832;936;10152
raspberrypi3-64;1;2018-03-09 20:02:04;818700;845656;40412;4.33;8392;35272;98508;6.22;23792;31152;8;11404;29472;2848;968;10168
raspberrypi3-64;10;2018-03-09 20:02:14;818224;845192;40876;4.38;8408;35268;98508;6.22;23856;30936;0;11220;29472;2848;936;10168
raspberrypi3-64;1;2018-03-09 20:02:15;817984;844976;41076;4.41;8408;35284;98508;6.22;23896;31164;16;11400;29496;2864;968;10184
raspberrypi3-64;10;2018-03-09 20:02:25;818476;845488;40592;4.35;8424;35280;98508;6.22;23908;31012;4;11320;29476;2864;936;10184
raspberrypi3-64;1;2018-03-09 20:02:26;818524;845556;40516;4.35;8424;35296;98508;6.22;23924;31172;16;11404;29488;2880;972;10184
raspberrypi3-64;10;2018-03-09 20:02:36;801668;829040;57032;6.12;8448;35612;139368;8.79;23948;47856;28;27860;29488;2896;1016;10232
raspberrypi3-64;1;2018-03-09 20:02:37;801668;829040;57032;6.12;8448;35612;139368;8.79;23944;47836;28;27836;29488;2896;1012;10232
raspberrypi3-64;10;2018-03-09 20:02:47;801668;829060;57012;6.12;8456;35624;139368;8.79;23956;47880;12;27856;29488;2880;1016;10232
raspberrypi3-64;1;2018-03-09 20:02:48;801668;829060;57008;6.12;8456;35628;139368;8.79;23960;47988;8;27940;29488;2896;1048;10232
raspberrypi3-64;10;2018-03-09 20:02:58;801868;829272;56784;6.09;8472;35636;139368;8.79;23952;47816;0;27776;29488;2864;984;10232
raspberrypi3-64;1;2018-03-09 20:02:59;801920;829340;56728;6.09;8472;35640;139368;8.79;23976;47996;12;27940;29488;2896;1048;10232
raspberrypi3-64;10;2018-03-09 20:03:09;819496;846872;39200;4.20;8492;35572;98508;6.22;23984;31228;0;11316;29488;2864;936;10216
raspberrypi3-64;1;2018-03-09 20:03:10;819548;846940;39132;4.20;8492;35588;98508;6.22;23996;31444;48;11400;29488;2880;968;10216
raspberrypi3-64;10;2018-03-09 20:03:20;819100;846496;39568;4.24;8500;35592;98508;6.22;23992;31304;16;11316;29488;2864;936;10200
raspberrypi3-64;1;2018-03-09 20:03:21;819100;846516;39544;4.24;8500;35600;98508;6.22;24004;31472;12;11400;29504;2880;968;10200
raspberrypi3-64;10;2018-03-09 20:03:32;819100;846520;39524;4.24;8516;35604;98508;6.22;24000;31320;0;11320;29504;2864;936;10184
raspberrypi3-64;1;2018-03-09 20:03:33;819100;846536;39520;4.24;8516;35608;98508;6.22;24020;31428;16;11400;29504;2880;968;10184
raspberrypi3-64;10;2018-03-09 20:03:43;803980;831520;54532;5.85;8540;35680;139368;8.79;24044;47932;0;27856;29516;2880;1012;10216
raspberrypi3-64;1;2018-03-09 20:03:44;803980;831520;54528;5.85;8540;35684;139368;8.79;24048;48040;8;27948;29516;2896;1044;10216
raspberrypi3-64;10;2018-03-09 20:03:54;804180;831740;54304;5.83;8556;35692;139368;8.79;24052;47948;16;27860;29516;2896;1012;10216
raspberrypi3-64;1;2018-03-09 20:03:55;804232;831800;54248;5.82;8556;35696;139368;8.79;24064;48048;24;27940;29516;2912;1044;10216
raspberrypi3-64;10;2018-03-09 20:04:05;803696;831280;54772;5.88;8572;35692;139368;8.79;24068;47936;28;27856;29516;2896;1012;10232
raspberrypi3-64;1;2018-03-09 20:04:06;803752;831360;54684;5.87;8572;35708;139368;8.79;24080;48116;36;27960;29532;2912;1044;10232
raspberrypi3-64;10;2018-03-09 20:04:16;803752;831368;54668;5.86;8580;35712;139368;8.79;24076;47944;40;27772;29536;2924;1012;10232
raspberrypi3-64;1;2018-03-09 20:04:17;803752;831384;54660;5.86;8580;35720;139368;8.79;24088;48120;48;27952;29536;2912;1044;10232
raspberrypi3-64;10;2018-03-09 20:04:27;803500;831144;54900;5.89;8588;35724;139368;8.79;24100;47980;40;27872;29536;2896;1012;10232
raspberrypi3-64;1;2018-03-09 20:04:28;803500;831144;54896;5.89;8588;35728;139368;8.79;24156;48028;44;27952;29536;2912;1044;10232
raspberrypi3-64;10;2018-03-09 20:04:38;803700;831372;54656;5.86;8620;35736;139368;8.79;24108;48036;28;27924;29536;2896;1012;10232
raspberrypi3-64;1;2018-03-09 20:04:39;803752;831440;54600;5.86;8620;35740;139368;8.79;24128;48144;36;28012;29536;2912;1044;10232
raspberrypi3-64;10;2018-03-09 20:04:49;803500;831200;54832;5.88;8628;35748;139368;8.79;24124;48068;16;27928;29540;2912;1012;10248
raspberrypi3-64;1;2018-03-09 20:04:50;803500;831220;54820;5.88;8636;35752;139368;8.79;24144;48252;24;28008;29540;2928;1044;10248
raspberrypi3-64;10;2018-03-09 20:05:00;803248;830972;55060;5.91;8644;35756;139368;8.79;24140;48076;28;27928;29540;2924;1012;10248
raspberrypi3-64;1;2018-03-09 20:05:01;803248;830988;55052;5.91;8644;35764;139368;8.79;24148;48248;12;28008;29540;2912;1040;10248
raspberrypi3-64;10;2018-03-09 20:05:11;803024;830784;55216;5.92;8668;35768;139368;8.79;24164;48144;16;27884;29572;2912;1040;10232
raspberrypi3-64;1;2018-03-09 20:05:12;803024;830800;55208;5.92;8668;35776;139368;8.79;24188;48252;28;28008;29572;2912;1044;10232
raspberrypi3-64;10;2018-03-09 20:05:22;803228;831012;54992;5.90;8676;35780;139368;8.79;24188;48088;16;27928;29572;2912;1012;10264
raspberrypi3-64;1;2018-03-09 20:05:23;803276;831064;54940;5.89;8676;35784;139368;8.79;24248;48132;8;28008;29572;2928;1044;10264
raspberrypi3-64;10;2018-03-09 20:05:33;817840;845588;40396;4.33;8692;35724;98508;6.22;24408;31200;8;11296;29596;2896;932;10248
raspberrypi3-64;1;2018-03-09 20:05:34;817840;845592;40388;4.33;8692;35732;98508;6.22;24420;31332;16;11404;29596;2912;972;10248
