# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
raspberrypi3-64;1;2018-03-09 20:01:53 UTC;-1;0.25;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;99.24
raspberrypi3-64;1;2018-03-09 20:01:53 UTC;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;1;2018-03-09 20:01:53 UTC;1;0.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;98.99
raspberrypi3-64;1;2018-03-09 20:01:53 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;1;2018-03-09 20:01:53 UTC;3;1.02;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;97.96
raspberrypi3-64;10;2018-03-09 20:02:03 UTC;-1;0.10;0.00;0.30;0.03;0.00;0.00;0.00;0.00;0.00;99.57
raspberrypi3-64;10;2018-03-09 20:02:03 UTC;0;0.00;0.00;0.20;0.00;0.00;0.00;0.00;0.00;0.00;99.80
raspberrypi3-64;10;2018-03-09 20:02:03 UTC;1;0.10;0.00;0.20;0.00;0.00;0.00;0.00;0.00;0.00;99.70
raspberrypi3-64;10;2018-03-09 20:02:03 UTC;2;0.10;0.00;0.10;0.10;0.00;0.00;0.00;0.00;0.00;99.70
raspberrypi3-64;10;2018-03-09 20:02:03 UTC;3;0.20;0.00;0.71;0.00;0.00;0.00;0.00;0.00;0.00;99.09
raspberrypi3-64;1;2018-03-09 20:02:04 UTC;-1;0.26;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;99.23
raspberrypi3-64;1;2018-03-09 20:02:04 UTC;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;1;2018-03-09 20:02:04 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;1;2018-03-09 20:02:04 UTC;2;0.00;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;98.98
raspberrypi3-64;1;2018-03-09 20:02:04 UTC;3;1.02;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;97.96
raspberrypi3-64;10;2018-03-09 20:02:14 UTC;-1;0.10;0.00;0.36;0.00;0.00;0.00;0.00;0.00;0.00;99.54
raspberrypi3-64;10;2018-03-09 20:02:14 UTC;0;0.10;0.00;0.30;0.00;0.00;0.00;0.00;0.00;0.00;99.59
raspberrypi3-64;10;2018-03-09 20:02:14 UTC;1;0.00;0.00;0.30;0.00;0.00;0.00;0.00;0.00;0.00;99.70
raspberrypi3-64;10;2018-03-09 20:02:14 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;10;2018-03-09 20:02:14 UTC;3;0.31;0.00;0.81;0.00;0.00;0.00;0.00;0.00;0.00;98.88
raspberrypi3-64;1;2018-03-09 20:02:15 UTC;-1;0.25;0.00;0.76;0.00;0.00;0.00;0.00;0.00;0.00;98.98
raspberrypi3-64;1;2018-03-09 20:02:15 UTC;0;1.01;0.00;2.02;0.00;0.00;0.00;0.00;0.00;0.00;96.97
raspberrypi3-64;1;2018-03-09 20:02:15 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;1;2018-03-09 20:02:15 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;1;2018-03-09 20:02:15 UTC;3;0.00;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;98.98
raspberrypi3-64;10;2018-03-09 20:02:25 UTC;-1;0.08;0.00;0.28;0.05;0.00;0.00;0.00;0.00;0.00;99.59
raspberrypi3-64;10;2018-03-09 20:02:25 UTC;0;0.00;0.00;0.30;0.10;0.00;0.00;0.00;0.00;0.00;99.59
raspberrypi3-64;10;2018-03-09 20:02:25 UTC;1;0.10;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.80
raspberrypi3-64;10;2018-03-09 20:02:25 UTC;2;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.90
raspberrypi3-64;10;2018-03-09 20:02:25 UTC;3;0.20;0.00;0.61;0.10;0.00;0.00;0.00;0.00;0.00;99.09
raspberrypi3-64;1;2018-03-09 20:02:26 UTC;-1;0.26;0.00;0.26;0.00;0.00;0.00;0.00;0.00;0.00;99.49
