# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
gen-r5c;1;2024-05-12 02:39:52 UTC;-1;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.50
gen-r5c;1;2024-05-12 02:39:52 UTC;0;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
gen-r5c;1;2024-05-12 02:39:52 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;1;2024-05-12 02:39:52 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;1;2024-05-12 02:39:52 UTC;3;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
gen-r5c;10;2024-05-12 02:40:02 UTC;-1;0.07;0.00;0.17;0.02;0.00;0.07;0.07;0.00;0.00;99.58
gen-r5c;10;2024-05-12 02:40:02 UTC;0;0.10;0.00;0.30;0.00;0.00;0.10;0.20;0.00;0.00;99.30
gen-r5c;10;2024-05-12 02:40:02 UTC;1;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;99.90
gen-r5c;10;2024-05-12 02:40:02 UTC;2;0.00;0.00;0.10;0.00;0.00;0.10;0.00;0.00;0.00;99.80
gen-r5c;10;2024-05-12 02:40:02 UTC;3;0.20;0.00;0.30;0.00;0.00;0.10;0.10;0.00;0.00;99.30
gen-r5c;1;2024-05-12 02:40:03 UTC;-1;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;99.75
gen-r5c;1;2024-05-12 02:40:03 UTC;0;0.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;98.99
gen-r5c;1;2024-05-12 02:40:03 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;1;2024-05-12 02:40:03 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;1;2024-05-12 02:40:03 UTC;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;10;2024-05-12 02:40:13 UTC;-1;0.00;0.00;0.07;0.00;0.00;0.00;0.00;0.00;0.00;99.93
gen-r5c;10;2024-05-12 02:40:13 UTC;0;0.00;0.00;0.20;0.00;0.00;0.00;0.00;0.00;0.00;99.80
gen-r5c;10;2024-05-12 02:40:13 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;10;2024-05-12 02:40:13 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;10;2024-05-12 02:40:13 UTC;3;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.90
gen-r5c;1;2024-05-12 02:40:14 UTC;-1;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;99.75
gen-r5c;1;2024-05-12 02:40:14 UTC;0;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
gen-r5c;1;2024-05-12 02:40:14 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;1;2024-05-12 02:40:14 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;1;2024-05-12 02:40:14 UTC;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;10;2024-05-12 02:40:24 UTC;-1;0.07;0.00;0.17;0.02;0.00;0.00;0.02;0.00;0.00;99.70
gen-r5c;10;2024-05-12 02:40:24 UTC;0;0.00;0.00;0.20;0.00;0.00;0.00;0.10;0.00;0.00;99.70
gen-r5c;10;2024-05-12 02:40:24 UTC;1;0.20;0.00;0.40;0.10;0.00;0.00;0.00;0.00;0.00;99.30
gen-r5c;10;2024-05-12 02:40:24 UTC;2;0.10;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.80
gen-r5c;10;2024-05-12 02:40:24 UTC;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;1;2024-05-12 02:40:25 UTC;-1;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.75
gen-r5c;1;2024-05-12 02:40:25 UTC;0;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
gen-r5c;1;2024-05-12 02:40:25 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;1;2024-05-12 02:40:25 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;1;2024-05-12 02:40:25 UTC;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;10;2024-05-12 02:40:35 UTC;-1;0.00;0.00;0.07;0.00;0.00;0.00;0.02;0.00;0.00;99.90
gen-r5c;10;2024-05-12 02:40:35 UTC;0;0.00;0.00;0.20;0.00;0.00;0.00;0.10;0.00;0.00;99.70
gen-r5c;10;2024-05-12 02:40:35 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;10;2024-05-12 02:40:35 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;10;2024-05-12 02:40:35 UTC;3;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.90
gen-r5c;1;2024-05-12 02:40:36 UTC;-1;0.00;0.00;0.25;0.00;0.00;0.00;0.25;0.00;0.00;99.50
gen-r5c;1;2024-05-12 02:40:36 UTC;0;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
gen-r5c;1;2024-05-12 02:40:36 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;1;2024-05-12 02:40:36 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.99;0.00;0.00;99.01
gen-r5c;1;2024-05-12 02:40:36 UTC;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
gen-r5c;10;2024-05-12 02:40:46 UTC;-1;0.00;0.00;0.12;0.02;0.00;0.05;0.05;0.00;0.00;99.75
gen-r5c;10;2024-05-12 02:40:46 UTC;0;0.00;0.00;0.20;0.00;0.00;0.10;0.00;0.00;0.00;99.70
