arm;-1;2024-05-12 14:36:30;LINUX-RESTART	(6 CPU)
# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
arm;10;2024-05-12 14:36:40;-1;0.18;0.00;0.20;0.05;0.00;0.10;0.05;0.00;0.00;99.42
arm;10;2024-05-12 14:36:50;-1;0.37;0.00;0.27;0.00;0.00;0.13;0.07;0.00;0.00;99.17
arm;10;2024-05-12 14:37:00;-1;0.12;0.00;0.12;0.07;0.00;0.10;0.07;0.00;0.00;99.53
arm;10;2024-05-12 14:37:10;-1;0.23;0.00;0.15;0.03;0.00;0.08;0.05;0.00;0.00;99.45
arm;10;2024-05-12 14:37:20;-1;0.08;0.00;0.13;0.07;0.00;0.12;0.03;0.00;0.00;99.57
arm;10;2024-05-12 14:37:30;-1;0.12;0.00;0.15;0.03;0.00;0.08;0.08;0.00;0.00;99.53
arm;10;2024-05-12 14:37:40;-1;0.17;0.00;0.25;0.02;0.00;0.15;0.07;0.00;0.00;99.35
arm;10;2024-05-12 14:37:50;-1;0.05;0.00;0.10;0.02;0.00;0.08;0.07;0.00;0.00;99.68
arm;10;2024-05-12 14:38:00;-1;0.08;0.00;0.18;0.00;0.00;0.08;0.02;0.00;0.00;99.63
arm;10;2024-05-12 14:38:10;-1;0.28;0.02;0.12;0.05;0.00;0.10;0.03;0.00;0.00;99.40
arm;10;2024-05-12 14:38:20;-1;0.08;0.00;0.22;0.20;0.00;0.10;0.07;0.00;0.00;99.34
arm;10;2024-05-12 14:38:30;-1;0.07;0.00;0.15;0.02;0.00;0.10;0.02;0.00;0.00;99.65
arm;10;2024-05-12 14:38:40;-1;0.05;0.00;0.20;0.02;0.00;0.12;0.08;0.00;0.00;99.53
arm;10;2024-05-12 14:38:50;-1;0.08;0.00;0.23;0.05;0.00;0.08;0.07;0.00;0.00;99.48
arm;10;2024-05-12 14:39:00;-1;4.28;0.00;0.57;0.07;0.00;0.17;0.08;0.00;0.00;94.84
arm;10;2024-05-12 14:39:10;-1;1.25;0.00;0.78;0.02;0.00;0.58;1.60;0.00;0.00;95.77
arm;10;2024-05-12 14:39:20;-1;1.20;0.00;0.80;0.23;0.00;0.70;2.17;0.00;0.00;94.89
arm;10;2024-05-12 14:39:30;-1;1.17;0.00;0.98;0.03;0.00;0.73;2.10;0.00;0.00;94.98
arm;10;2024-05-12 14:39:40;-1;1.20;0.00;0.89;0.02;0.00;0.72;2.16;0.00;0.00;95.02
arm;10;2024-05-12 14:39:50;-1;1.45;0.00;1.34;0.37;0.00;0.77;2.04;0.00;0.00;94.04
arm;10;2024-05-12 14:40:00;-1;1.18;0.00;0.93;0.07;0.00;0.68;2.07;0.00;0.00;95.06
arm;10;2024-05-12 14:40:10;-1;1.48;0.00;1.03;0.08;0.00;0.73;2.05;0.00;0.00;94.62
arm;10;2024-05-12 14:40:20;-1;1.52;0.00;0.97;0.05;0.00;0.72;2.04;0.00;0.00;94.71
arm;10;2024-05-12 14:40:30;-1;1.39;0.00;1.00;0.03;0.00;0.70;1.97;0.00;0.00;94.90
arm;10;2024-05-12 14:40:40;-1;1.29;0.00;0.89;0.13;0.00;0.65;1.91;0.00;0.00;95.14
arm;10;2024-05-12 14:40:50;-1;1.37;0.00;0.80;0.03;0.00;0.68;2.02;0.00;0.00;95.09
arm;10;2024-05-12 14:41:00;-1;1.52;0.00;1.05;0.02;0.00;0.75;2.12;0.00;0.00;94.54
arm;10;2024-05-12 14:41:11;-1;1.34;0.00;0.82;0.03;0.00;0.69;1.91;0.00;0.00;95.22
arm;10;2024-05-12 14:41:21;-1;1.32;0.00;0.82;0.07;0.00;0.74;2.12;0.00;0.00;94.93
arm;10;2024-05-12 14:41:31;-1;1.20;0.00;0.84;0.05;0.00;0.69;2.01;0.00;0.00;95.22
