arm;-1;2024-05-12 14:36:30;LINUX-RESTART	(6 CPU)
# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
arm;10;2024-05-12 14:36:40;2100400;2982304;582020;14.76;41644;1105028;3488072;88.44;519540;921596;120;504944;114876;7552;14772;31492
arm;10;2024-05-12 14:36:50;2100588;2982504;581820;14.75;41652;1105032;3488176;88.44;519552;921704;0;505016;114876;7552;14764;31524
arm;10;2024-05-12 14:37:00;2100604;2982528;581800;14.75;41660;1105028;3488176;88.44;519576;921728;0;505020;114876;7552;14772;31508
arm;10;2024-05-12 14:37:10;2100708;2982636;581684;14.75;41672;1105028;3488176;88.44;519576;921732;8;505020;114876;7552;14772;31492
arm;10;2024-05-12 14:37:20;2100960;2982912;581416;14.74;41684;1105032;3488176;88.44;519600;921732;16;505020;114876;7552;14768;31492
arm;10;2024-05-12 14:37:30;2102276;2984240;580088;14.71;41692;1105036;3488176;88.44;519608;921776;8;505096;114876;7584;14860;31524
arm;10;2024-05-12 14:37:40;2101120;2983092;581236;14.74;41700;1105036;3488176;88.44;519616;921628;0;504936;114876;7536;14720;31508
arm;10;2024-05-12 14:37:50;2100868;2982852;581468;14.74;41716;1105040;3488176;88.44;519628;921744;0;505028;114876;7504;14768;31460
arm;10;2024-05-12 14:38:00;2100868;2982868;581452;14.74;41724;1105040;3488176;88.44;519644;921596;4;504880;114884;7504;14772;31476
arm;10;2024-05-12 14:38:10;2100616;2982628;581692;14.75;41732;1105044;3488184;88.44;519652;921608;8;504888;114884;7504;14764;31476
arm;10;2024-05-12 14:38:20;2100644;2982672;581648;14.75;41748;1105044;3488184;88.44;519664;921668;8;504944;114884;7472;14720;31444
arm;10;2024-05-12 14:38:30;2100644;2982684;581636;14.75;41756;1105048;3488184;88.44;519676;921760;0;505036;114884;7488;14768;31460
arm;10;2024-05-12 14:38:40;2100392;2982444;581876;14.75;41768;1105048;3488184;88.44;519688;921756;0;505032;114884;7488;14772;31444
arm;10;2024-05-12 14:38:50;2099636;2981724;582596;14.77;41796;1105056;3488184;88.44;519712;921700;44;504980;114884;7472;14720;31444
arm;10;2024-05-12 14:39:00;2080356;2962480;601856;15.26;41812;1105036;3547272;89.94;520044;937660;76;521244;114908;7520;15024;31484
arm;10;2024-05-12 14:39:10;2072212;2957616;606544;15.38;41820;1108108;3553248;90.09;520072;946708;2336;527248;115284;7568;15252;31500
arm;10;2024-05-12 14:39:20;2067716;2957792;606472;15.38;41852;1112628;3553248;90.09;520100;951192;5436;527072;115300;7616;15248;31612
arm;10;2024-05-12 14:39:30;2063432;2957832;605908;15.36;41868;1116908;3553248;90.09;520120;955432;9724;527088;115852;7616;15256;31628
arm;10;2024-05-12 14:39:40;2053504;2952604;611580;15.51;41884;1121428;3553248;90.09;520136;959964;8112;527236;115572;7616;15252;31628
arm;10;2024-05-12 14:39:50;2052668;2956268;607772;15.41;41900;1125772;3553248;90.09;520152;964340;4676;527236;115856;7616;15248;31628
