arm;-1;2024-05-12 21:36:30 UTC;LINUX-RESTART	(6 CPU)
# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
arm;10;2024-05-12 21:36:40 UTC;-1;0.18;0.00;0.20;0.05;0.00;0.10;0.05;0.00;0.00;99.42
arm;10;2024-05-12 21:36:40 UTC;0;0.20;0.00;0.30;0.20;0.00;0.10;0.10;0.00;0.00;99.10
arm;10;2024-05-12 21:36:40 UTC;1;0.50;0.00;0.40;0.00;0.00;0.20;0.10;0.00;0.00;98.80
arm;10;2024-05-12 21:36:40 UTC;2;0.10;0.00;0.00;0.00;0.00;0.10;0.10;0.00;0.00;99.70
arm;10;2024-05-12 21:36:40 UTC;3;0.00;0.00;0.20;0.00;0.00;0.10;0.00;0.00;0.00;99.70
arm;10;2024-05-12 21:36:40 UTC;4;0.30;0.00;0.20;0.10;0.00;0.10;0.00;0.00;0.00;99.30
arm;10;2024-05-12 21:36:40 UTC;5;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.90
arm;10;2024-05-12 21:36:50 UTC;-1;0.37;0.00;0.27;0.00;0.00;0.13;0.07;0.00;0.00;99.17
arm;10;2024-05-12 21:36:50 UTC;0;0.70;0.00;0.50;0.00;0.00;0.30;0.30;0.00;0.00;98.20
arm;10;2024-05-12 21:36:50 UTC;1;1.30;0.00;0.60;0.00;0.00;0.30;0.00;0.00;0.00;97.80
arm;10;2024-05-12 21:36:50 UTC;2;0.00;0.00;0.10;0.00;0.00;0.10;0.00;0.00;0.00;99.80
arm;10;2024-05-12 21:36:50 UTC;3;0.10;0.00;0.30;0.00;0.00;0.00;0.10;0.00;0.00;99.50
arm;10;2024-05-12 21:36:50 UTC;4;0.10;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.80
arm;10;2024-05-12 21:36:50 UTC;5;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;99.90
arm;10;2024-05-12 21:37:00 UTC;-1;0.12;0.00;0.12;0.07;0.00;0.10;0.07;0.00;0.00;99.53
arm;10;2024-05-12 21:37:00 UTC;0;0.00;0.00;0.10;0.40;0.00;0.20;0.20;0.00;0.00;99.10
arm;10;2024-05-12 21:37:00 UTC;1;0.50;0.00;0.20;0.00;0.00;0.20;0.10;0.00;0.00;99.00
arm;10;2024-05-12 21:37:00 UTC;2;0.10;0.00;0.10;0.00;0.00;0.10;0.10;0.00;0.00;99.60
arm;10;2024-05-12 21:37:00 UTC;3;0.00;0.00;0.10;0.00;0.00;0.10;0.00;0.00;0.00;99.80
arm;10;2024-05-12 21:37:00 UTC;4;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.90
arm;10;2024-05-12 21:37:00 UTC;5;0.10;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.80
arm;10;2024-05-12 21:37:10 UTC;-1;0.23;0.00;0.15;0.03;0.00;0.08;0.05;0.00;0.00;99.45
arm;10;2024-05-12 21:37:10 UTC;0;0.10;0.00;0.10;0.20;0.00;0.10;0.10;0.00;0.00;99.40
arm;10;2024-05-12 21:37:10 UTC;1;1.20;0.00;0.30;0.00;0.00;0.20;0.00;0.00;0.00;98.30
arm;10;2024-05-12 21:37:10 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
arm;10;2024-05-12 21:37:10 UTC;3;0.00;0.00;0.20;0.00;0.00;0.10;0.10;0.00;0.00;99.60
arm;10;2024-05-12 21:37:10 UTC;4;0.00;0.00;0.20;0.00;0.00;0.10;0.10;0.00;0.00;99.60
arm;10;2024-05-12 21:37:10 UTC;5;0.10;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.80
arm;10;2024-05-12 21:37:20 UTC;-1;0.08;0.00;0.13;0.07;0.00;0.12;0.03;0.00;0.00;99.57
arm;10;2024-05-12 21:37:20 UTC;0;0.00;0.00;0.20;0.40;0.00;0.20;0.20;0.00;0.00;99.00
arm;10;2024-05-12 21:37:20 UTC;1;0.40;0.00;0.10;0.00;0.00;0.30;0.00;0.00;0.00;99.20
arm;10;2024-05-12 21:37:20 UTC;2;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;99.90
arm;10;2024-05-12 21:37:20 UTC;3;0.10;0.00;0.20;0.00;0.00;0.10;0.00;0.00;0.00;99.60
arm;10;2024-05-12 21:37:20 UTC;4;0.00;0.00;0.20;0.00;0.00;0.00;0.00;0.00;0.00;99.80
arm;10;2024-05-12 21:37:20 UTC;5;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.90
arm;10;2024-05-12 21:37:30 UTC;-1;0.12;0.00;0.15;0.03;0.00;0.08;0.08;0.00;0.00;99.53
arm;10;2024-05-12 21:37:30 UTC;0;0.20;0.00;0.10;0.10;0.00;0.20;0.20;0.00;0.00;99.20
arm;10;2024-05-12 21:37:30 UTC;1;0.20;0.00;0.20;0.00;0.00;0.10;0.10;0.00;0.00;99.40
arm;10;2024-05-12 21:37:30 UTC;2;0.00;0.00;0.20;0.00;0.00;0.10;0.10;0.00;0.00;99.60
arm;10;2024-05-12 21:37:30 UTC;3;0.20;0.00;0.20;0.10;0.00;0.10;0.10;0.00;0.00;99.30
arm;10;2024-05-12 21:37:30 UTC;4;0.10;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.80
arm;10;2024-05-12 21:37:30 UTC;5;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.90
arm;10;2024-05-12 21:37:40 UTC;-1;0.17;0.00;0.25;0.02;0.00;0.15;0.07;0.00;0.00;99.35
arm;10;2024-05-12 21:37:40 UTC;0;0.70;0.00;0.40;0.10;0.00;0.30;0.20;0.00;0.00;98.31
arm;10;2024-05-12 21:37:40 UTC;1;0.30;0.00;0.60;0.00;0.00;0.30;0.00;0.00;0.00;98.80
arm;10;2024-05-12 21:37:40 UTC;2;0.00;0.00;0.20;0.00;0.00;0.10;0.10;0.00;0.00;99.60
arm;10;2024-05-12 21:37:40 UTC;3;0.00;0.00;0.30;0.00;0.00;0.10;0.00;0.00;0.00;99.60
arm;10;2024-05-12 21:37:40 UTC;4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
arm;10;2024-05-12 21:37:40 UTC;5;0.00;0.00;0.00;0.00;0.00;0.10;0.10;0.00;0.00;99.80
arm;10;2024-05-12 21:37:50 UTC;-1;0.05;0.00;0.10;0.02;0.00;0.08;0.07;0.00;0.00;99.68
arm;10;2024-05-12 21:37:50 UTC;0;0.00;0.00;0.10;0.10;0.00;0.10;0.20;0.00;0.00;99.50
arm;10;2024-05-12 21:37:50 UTC;1;0.10;0.00;0.20;0.00;0.00;0.20;0.10;0.00;0.00;99.40
arm;10;2024-05-12 21:37:50 UTC;2;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;99.90
arm;10;2024-05-12 21:37:50 UTC;3;0.10;0.00;0.20;0.00;0.00;0.10;0.10;0.00;0.00;99.50
arm;10;2024-05-12 21:37:50 UTC;4;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.90
arm;10;2024-05-12 21:37:50 UTC;5;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.90
arm;10;2024-05-12 21:38:00 UTC;-1;0.08;0.00;0.18;0.00;0.00;0.08;0.02;0.00;0.00;99.63
arm;10;2024-05-12 21:38:00 UTC;0;0.00;0.00;0.10;0.00;0.00;0.20;0.10;0.00;0.00;99.60
