# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
mz7010-som-base-2020-2;10;2024-05-15 00:00:12;-1;17.56;0.30;9.35;18.05;0.00;0.00;0.00;0.00;0.00;54.75
mz7010-som-base-2020-2;10;2024-05-15 00:00:22;-1;51.48;0.05;48.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:00:32;-1;44.52;0.00;37.60;0.00;0.00;0.00;0.00;0.00;0.00;17.88
mz7010-som-base-2020-2;10;2024-05-15 00:00:42;-1;32.01;0.05;31.32;4.31;0.00;0.00;0.00;0.00;0.00;32.31
mz7010-som-base-2020-2;11;2024-05-15 00:00:52;-1;51.47;0.00;48.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:01:03;-1;23.35;0.00;21.47;4.26;0.00;0.00;0.00;0.00;0.00;50.92
mz7010-som-base-2020-2;10;2024-05-15 00:01:13;-1;48.32;0.00;51.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;11;2024-05-15 00:01:23;-1;44.28;0.05;41.26;0.00;0.00;0.00;0.00;0.00;0.00;14.42
mz7010-som-base-2020-2;10;2024-05-15 00:01:34;-1;31.05;0.10;28.78;4.31;0.00;0.00;0.00;0.00;0.00;35.76
mz7010-som-base-2020-2;11;2024-05-15 00:01:44;-1;49.24;0.00;50.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:01:54;-1;22.33;0.00;24.27;4.22;0.00;0.00;0.00;0.00;0.00;49.18
mz7010-som-base-2020-2;11;2024-05-15 00:02:05;-1;51.61;0.00;48.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:02:15;-1;43.88;0.00;41.59;0.00;0.00;0.00;0.00;0.00;0.00;14.53
mz7010-som-base-2020-2;10;2024-05-15 00:02:25;-1;34.82;0.15;24.83;4.35;0.00;0.00;0.00;0.00;0.00;35.86
mz7010-som-base-2020-2;10;2024-05-15 00:02:35;-1;47.98;0.05;51.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:02:45;-1;22.71;0.05;23.61;4.22;0.00;0.00;0.05;0.00;0.00;49.35
mz7010-som-base-2020-2;11;2024-05-15 00:02:56;-1;47.77;0.00;52.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:03:06;-1;44.26;0.05;45.85;0.00;0.00;0.00;0.00;0.00;0.00;9.84
mz7010-som-base-2020-2;10;2024-05-15 00:03:16;-1;30.04;0.10;25.38;4.31;0.00;0.00;0.00;0.00;0.00;40.16
mz7010-som-base-2020-2;11;2024-05-15 00:03:27;-1;48.58;0.09;51.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:03:37;-1;22.41;0.00;24.19;4.21;0.00;0.00;0.00;0.00;0.00;49.18
mz7010-som-base-2020-2;11;2024-05-15 00:03:47;-1;48.40;0.00;51.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:03:57;-1;45.46;0.00;43.07;0.00;0.00;0.00;0.00;0.00;0.00;11.47
mz7010-som-base-2020-2;10;2024-05-15 00:04:07;-1;32.80;0.10;25.05;4.22;0.00;0.00;0.05;0.00;0.00;37.77
mz7010-som-base-2020-2;10;2024-05-15 00:04:18;-1;47.68;0.00;52.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:04:28;-1;20.68;0.00;24.06;3.73;0.00;0.00;0.00;0.00;0.00;51.54
mz7010-som-base-2020-2;10;2024-05-15 00:04:38;-1;50.74;0.10;48.81;0.35;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:04:48;-1;47.57;0.00;50.67;0.00;0.00;0.00;0.00;0.00;0.00;1.77
mz7010-som-base-2020-2;10;2024-05-15 00:04:58;-1;25.50;0.20;20.73;4.07;0.00;0.00;0.00;0.00;0.00;49.50
mz7010-som-base-2020-2;11;2024-05-15 00:05:09;-1;48.10;0.19;51.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00
